code,station,state,temp_min,temp_max,do_min,do_max,ph_min,ph_max,cond_min,cond_max,bod_min,bod_max,nitrate_min,nitrate_max,fecal_min,fecal_max,total_coli_min,total_coli_max,fecal_strep_min,fecal_strep_max,year,section_title
1380,"RIVER SUTLEJ AT D/S NFL, PUNJAB",PUNJAB,13.0,26.0,8.6,10.8,7.3,9.1,202,275,1.0,1.0,1.30,1.90,18,170,93,390,-,-,2021,Sutlej
10020,RIVER SUTLEJ AT ANANDPUR SAHIB,PUNJAB,12.0,22.0,4.7,10.5,7.4,9.4,225,312,1.0,2.6,1.30,2.10,45,400,210,1200,-,-,2021,Sutlej
10021,RIVER SUTLEJ AT BUNGA SAHIB,PUNJAB,13.0,24.0,7.9,10.8,7.7,8.9,200,262,1.0,1.0,1.30,1.90,68,450,390,1100,-,-,2021,Sutlej
10022,RIVER SUTLEJ AT PHILLAUR U/S,PUNJAB,10.0,32.0,5.0,7.4,7.0,7.7,257,452,1.0,3.5,0.30,0.80,200,1300,840,3300,-,-,2021,Sutlej
10023,RIVER SUTLEJ AT PHAGWARA U/S (CHAHERU BRIDGE),PUNJAB,11.0,30.0,0.3,4.3,7.1,8.2,381,829,12.0,20.0,0.50,1.00,360,2100,610,4300,-,-,2021,Sutlej
10024,RIVER SUTLEJ AT PHAGWARA D/S (KANGANIWAL BRIDGE),PUNJAB,10.0,32.0,0.3,2.5,7.2,7.8,888,1144,9.0,30.0,1.20,2.20,780,4600,1700,17000,-,-,2021,Sutlej
10027,RIVER SUTLEJ AT LUDHIANA U/S,PUNJAB,13.0,29.0,5.4,8.2,7.5,8.7,221,323,1.0,1.4,1.50,2.50,98,1700,940,3900,-,-,2021,Sutlej
10028,RIVER SUTLEJ AT LUDHIANA D/S,PUNJAB,15.0,29.0,0.3,3.9,7.0,7.7,298,1525,4.0,59.0,1.70,3.10,79000,2600000,240000,6300000,-,-,2021,Sutlej
1017,"RIVER SUTLEJ AT 100M U/S OF HEADWORKS, NANGAL",PUNJAB,11.0,20.0,6.6,9.6,7.4,8.4,191,266,1.0,1.0,1.20,1.60,18,78,93,210,-,-,2021,Sutlej
1018,"RIVER SUTLEJ AT 100M D/S , NANGAL",PUNJAB,11.0,20.0,8.8,10.8,7.3,9.1,200,280,1.0,1.0,1.30,1.70,37,230,170,630,2,2,2021,Sutlej
1293,"RIVER SUTLEJ AT 1 KM. D/S OF ZENITH, PUNJAB",PUNJAB,13.0,26.0,5.9,9.9,7.4,8.9,210,386,1.0,1.0,1.20,2.30,78,1700,700,3800,-,-,2021,Sutlej
1019,RIVER SUTLEJ AT U/S HEAD WORKS ROPAR,PUNJAB,12.0,22.0,6.7,9.3,7.5,8.3,218,372,1.0,1.0,1.30,2.10,78,1300,630,3400,-,-,2021,Sutlej
1690,"RIVER SUTLEJ AT U/S BUDHA NALLAH (UPPER), PUNJAB",PUNJAB,14.0,28.0,4.3,7.8,7.1,8.3,257,462,1.0,3.2,1.60,2.70,200,2600,1100,4800,-,-,2021,Sutlej
1020,"RIVER SUTLEJ AT 100M D/S BUDHA NALA CONFL., LUDHIANA",PUNJAB,15.0,29.0,0.3,1.7,6.9,7.6,475,1243,7.5,68.0,1.80,3.50,310000,7000000,1100000,11000000,-,-,2021,Sutlej
1022,"RIVER SUTLEJ AT BRIDGE HARIKE, AMRITSAR",PUNJAB,12.0,29.0,4.1,7.6,6.9,8.0,242,600,1.9,6.2,1.30,2.70,680,2600,2100,6300,-,-,2021,Sutlej
10025,RIVER SUTLEJ AT JALANDHAR U/S (PEERU SHAH KA DARGAH),PUNJAB,10.0,34.0,0.3,2.1,7.1,7.8,962,1244,48.0,85.0,2.80,5.20,21000,170000,58000,380000,-,-,2021,Sutlej
10026,RIVER SUTLEJ AT JALANDHAR D/S (MALSIAN BRIDGE),PUNJAB,12.0,32.0,0.3,0.3,7.2,7.6,1050,1290,55.0,90.0,1.90,7.00,21000,170000,70000,540000,-,-,2021,Sutlej
1021,"RIVER SUTLEJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR",PUNJAB,11.0,30.0,0.3,5.0,6.8,7.7,339,1194,3.2,40.0,1.50,2.90,11000,430000,92000,840000,-,-,2021,Sutlej
1381,"RIVER SUTLEJ AT D/S EAST BEIN, PUNJAB",PUNJAB,12.0,31.0,0.3,3.7,7.0,7.8,330,1391,2.4,24.0,1.50,3.00,110000,490000,460000,940000,-,-,2021,Sutlej
