station,2016,2017,2018,2019,2020,2021,2022
"GANGA D/S, ANOOPSHAHAR",,7.4,7.449999999999999,7.3,7.15,,
"GANGA D/S, MIRZAPUR",,7.2,8.1,8.35,8.2,,
GANGA NEAR DANAPUR (NEAR PIPA PUL),,,7.6,,,,
"GANGA NEAR DANAPUR (NEAR PIPA PUL) ,PATNA",,,,7.95,7.75,,
"GANGA U/S, ANOOPSHAHAR",,7.25,7.3,7.2,7.0,,
"GANGA U/S, VINDHYACHAL, MIRZAPUR",,6.949999999999999,8.2,8.3,8.15,,
GHARMUKTESHWAR,,,7.25,7.05,,,
GORABAZAR,,,8.05,,,,
JAGJITPUR,,,7.699999999999999,,,,
"KACHCHI-DARGAH-BIDUPUR ROAD BRIDGE, PATNA",,,7.4,7.55,8.0,,
"KALI BEIN FALLING INTO RIVER BEAS, PUNJAB",,,,7.55,,,
KHAGRA,,,7.949999999999999,,,,
LAKKAR GHAT- OXIDATION PONDS,,,,8.1,,,
LAKKAR GHAT-OXIDATION PONDS,,,7.800000000000001,,,,
"MADHYA GANGA BARRAGE, BIJNORE",,,7.35,,,,
PALTA SHITLATALA,,,8.0,,,,
PATNA TO GANDHI GHAT/NIT GHAT,,,7.300000000000001,,,,
RIVE GANGA AT U/S BARAHPUR BINDTOLI,,,,8.15,,,
"RIVER GANGA A/C GOMTI RIVER, BHUSAULA",,,8.35,8.399999999999999,8.3,7.95,8.120000000000001
"RIVER GANGA A/C TAMSA RIVER, SIRSA, SON BARSA",,,,7.949999999999999,,8.0,7.985
"RIVER GANGA A/C TAMSA, SIRSA, SON BARSA",,,8.149999999999999,,,,
"RIVER GANGA AT ALLAHABAD (RASOOLABAD), U.P.",,,,,,8.1,
"RIVER GANGA AT ALLAHABAD D/S (SANGAM), U.P.",,,,,,8.05,
RIVER GANGA AT ARA- CHAPRA ROAD BRIDGE (KOIILWAR BARHARA-CHAPRA ROAD),,,,,,,7.805
RIVER GANGA AT ARA- CHAPRA ROAD BRIDGE (KOILWER BANURA-CHAPRA ROAD),,,,,,7.85,
